original,translated
Other staphylococcal septicemia,Other staphylococcal septicemia
"""Staphylococcal septicemia, unspecified""","""Staphylococcal septicemia, unspecified"""
"""Staphylococcus infection in conditions classified elsewhere and of unspecified site, staphylococcus, unspecified""","""Staphylococcus infection in conditions classified elsewhere and of unspecified site, staphylococcus, unspecified"""
Striking against or struck accidentally by other stationary object without subsequent fall,Striking against or struck accidentally by other stationary object without subsequent fall
Above elbow amputation status,Above elbow amputation status
Below elbow amputation status,Below elbow amputation status
Unspecified level lower limb amputation status,Unspecified level lower limb amputation status
Other finger(s) amputation status,Other finger(s) amputation status
Other toe(s) amputation status,Other toe(s) amputation status
Unspecified cardiac device in situ,Unspecified cardiac device in situ
Cardiac pacemaker in situ,Cardiac pacemaker in situ
Other specified cardiac device in situ,Other specified cardiac device in situ
Acquired stenosis of external ear canal secondary to surgery,Acquired stenosis of external ear canal secondary to surgery
Stereotypic movement disorder,Stereotypic movement disorder
Aftercare following sterilization reversal,Aftercare following sterilization reversal
Stevens-Johnson syndrome,Stevens-Johnson syndrome
Stage III necrotizing enterocolitis in newborn,Stage III necrotizing enterocolitis in newborn
Dyspepsia and other specified disorders of function of stomach,Dyspepsia and other specified disorders of function of stomach
Unspecified functional disorder of stomach,Unspecified functional disorder of stomach
"""Stomatitis and mucositis, unspecified""","""Stomatitis and mucositis, unspecified"""
Other stomatitis and mucositis (ulcerative),Other stomatitis and mucositis (ulcerative)
Aspiration of postnatal stomach contents without respiratory symptoms,Aspiration of postnatal stomach contents without respiratory symptoms
Other disturbances of straight-chain amino-acid metabolism,Other disturbances of straight-chain amino-acid metabolism
Streptococcal meningitis,Streptococcal meningitis
"""Pneumonia due to Streptococcus, unspecified""","""Pneumonia due to Streptococcus, unspecified"""
Streptococcal septicemia,Streptococcal septicemia
Carrier or suspected carrier of other streptococcus,Carrier or suspected carrier of other streptococcus
Stress fracture of other bone,Stress fracture of other bone
"""Stress incontinence, male""","""Stress incontinence, male"""
Stricture of male genital organs,Stricture of male genital organs
Other stromal corneal dystrophies,Other stromal corneal dystrophies
Struck accidentally by falling object,Struck accidentally by falling object
Subacute dyskinesia due to drugs,Subacute dyskinesia due to drugs
"""Subarachnoid hemorrhage following injury with open intracranial wound, unspecified state of consciousness""","""Subarachnoid hemorrhage following injury with open intracranial wound, unspecified state of consciousness"""
"""Subarachnoid hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level""","""Subarachnoid hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"""
"""Subarachnoid hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness""","""Subarachnoid hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness"""
Subclavian steal syndrome,Subclavian steal syndrome
"""Open fracture of mandible, subcondylar""","""Open fracture of mandible, subcondylar"""
"""Closed fracture of mandible, subcondylar""","""Closed fracture of mandible, subcondylar"""
Subcorneal pustular dermatosis,Subcorneal pustular dermatosis
"""Subdural hemorrhage following injury with open intracranial wound, unspecified state of consciousness""","""Subdural hemorrhage following injury with open intracranial wound, unspecified state of consciousness"""
"""Subdural hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level""","""Subdural hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"""
"""Subdural hemorrhage following injury without mention of open intracranial wound, with loss of consciousness of unspecified duration""","""Subdural hemorrhage following injury without mention of open intracranial wound, with loss of consciousness of unspecified duration"""
"""Subdural hemorrhage following injury without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness""","""Subdural hemorrhage following injury without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness"""
"""Subendocardial infarction, initial episode of care""","""Subendocardial infarction, initial episode of care"""
Closed fracture of subtrochanteric section of neck of femur,Closed fracture of subtrochanteric section of neck of femur
Sudden infant death syndrome,Sudden infant death syndrome
Disturbances of sulphur-bearing amino-acid metabolism,Disturbances of sulphur-bearing amino-acid metabolism
Superior glenoid labrum lesion,Superior glenoid labrum lesion
"""Other and unspecified superficial injury of hip, thigh, leg, and ankle, infected""","""Other and unspecified superficial injury of hip, thigh, leg, and ankle, infected"""
"""Other and unspecified superficial injury of shoulder and upper arm, infected""","""Other and unspecified superficial injury of shoulder and upper arm, infected"""
"""Other and unspecified superficial injury of shoulder and upper arm, without mention of infection""","""Other and unspecified superficial injury of shoulder and upper arm, without mention of infection"""
"""Superficial foreign body (splinter) of other, multiple, and unspecified sites, without major open wound and without mention of infection""","""Superficial foreign body (splinter) of other, multiple, and unspecified sites, without major open wound and without mention of infection"""
Superficial injury of conjunctiva,Superficial injury of conjunctiva
"""Other and unspecified superficial injury of hip, thigh, leg, and ankle, without mention of infection""","""Other and unspecified superficial injury of hip, thigh, leg, and ankle, without mention of infection"""
"""Superficial foreign body (splinter) of other, multiple, and unspecified sites, without major open wound, infected""","""Superficial foreign body (splinter) of other, multiple, and unspecified sites, without major open wound, infected"""
"""Other and unspecified superficial injury of hand(s) except finger(s) alone, without mention of infection""","""Other and unspecified superficial injury of hand(s) except finger(s) alone, without mention of infection"""
Supervision of normal first pregnancy,Supervision of normal first pregnancy
Supervision of other normal pregnancy,Supervision of other normal pregnancy
"""Suppressed lactation, postpartum condition or complication""","""Suppressed lactation, postpartum condition or complication"""
Other suppurative peritonitis,Other suppurative peritonitis
Suppurative labyrinthitis,Suppurative labyrinthitis
Open supracondylar fracture of femur,Open supracondylar fracture of femur
Open supracondylar fracture of humerus,Open supracondylar fracture of humerus
"""Supraglottitis unspecified, with obstruction""","""Supraglottitis unspecified, with obstruction"""
"""Supraglottitis unspecified, without obstruction""","""Supraglottitis unspecified, without obstruction"""
Closed supracondylar fracture of humerus,Closed supracondylar fracture of humerus
"""Other and unspecified superficial injury of fingers, infected""","""Other and unspecified superficial injury of fingers, infected"""
"""Other and unspecified superficial injury of elbow, forearm, and wrist, infected""","""Other and unspecified superficial injury of elbow, forearm, and wrist, infected"""
Supervision of other high-risk pregnancy,Supervision of other high-risk pregnancy
Supervision of unspecified high-risk pregnancy,Supervision of unspecified high-risk pregnancy
Supervision of high-risk pregnancy with young multigravida,Supervision of high-risk pregnancy with young multigravida
Supervision of high-risk pregnancy with young primigravida,Supervision of high-risk pregnancy with young primigravida
